Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Pct of delay train
2024-08-01,National,AIX EN PROVENCE TGV,PARIS LYON,184.0,494.0,3.0,307.0,8.775895766,5.579795918,41.0,40.96585366,58.47323134889636,36.0,44.81898148,20.0,8.0,7.31707317,17.07317073,34.14634146,7.31707317,19.51219512,14.63414634,62.52545824847251
2024-08-01,International,PARIS EST,STUTTGART,224.0,131.0,1.0,20.0,16.6475,2.555512821,13.0,37.98846154,6.553717949,13.0,37.98846154,8.0,1.0,7.69230769,0.0,30.76923077,38.46153846,7.69230769,15.38461538,15.384615384615385
2024-08-01,National,MARNE LA VALLEE,LYON PART DIEU,106.0,445.0,0.0,304.0,10.81716009,7.392284644,80.0,28.386875000000003,6.853970038,60.0,33.19777778,27.0,4.0,3.75,15.0,36.25,21.25,12.5,11.25,68.31460674157303
2024-08-01,National,NIMES,PARIS LYON,179.0,235.0,1.0,97.0,10.90463918,4.510658083,36.0,38.74398148,5.262374821,27.0,47.22839506,15.0,8.0,25.0,5.55555556,30.55555556,13.88888889,13.88888889,11.11111111,41.452991452991455
2024-08-01,National,PARIS MONTPARNASSE,ST PIERRE DES CORPS,61.0,456.0,1.0,44.0,11.59015152,0.825641026,40.0,17.24333333,2.113113553,12.0,35.18611111,6.0,2.0,0.0,15.15151515,18.18181818,36.36363636,18.18181818,75.91572970554272,9.670329670329672
2024-08-01,International,ITALIE,PARIS LYON,495.0,31.0,0.0,22.0,28.48560606,20.32849462,8.0,25.80416667,7.429569893,8.0,25.80416667,1.0,0.0,0.0,25.0,37.5,12.5,72.0439601026586,25.0,70.96774193548387
2024-08-01,National,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.0,145.0,0.0,14.0,24.66071429,2.261839081,8.0,46.74375,3.892988506,7.0,51.23333333,4.0,3.0,12.5,0.0,37.5,37.5,12.5,75.91572970554272,9.655172413793103
2024-08-01,National,PARIS LYON,AIX EN PROVENCE TGV,182.0,507.0,4.0,64.0,23.99921875,2.749801193,48.0,53.23576389,6.438734261,47.0,54.051418440000006,23.0,14.0,12.5,10.41666667,22.91666667,37.5,8.33333333,8.33333333,12.72365805168986
2024-08-01,National,PARIS LYON,MARSEILLE ST CHARLES,196.0,534.0,2.0,64.0,21.42708333,2.308458647,48.0,46.20277778,5.717261905,48.0,46.202777778000005,25.0,13.0,14.58333333,4.16666667,29.16666667,31.25,10.41666667,10.41666667,12.030075187969924
2024-08-01,National,VALENCE ALIXAN TGV,PARIS LYON,133.0,472.0,2.0,327.0,8.718654434,6.143794326,57.0,31.7245614,4.418368794,39.0,40.06068376,24.0,6.0,24.56140351,5.26315789,42.10526316,12.28070175,5.26315789,10.52631579,69.57446808510637
2024-08-01,National,NANTES,STRASBOURG,315.0,59.0,0.0,9.0,22.43703704,3.261581921,5.0,39.54333333,5.943785311,5.0,39.54333333,2.0,1.0,0.0,20.0,20.0,0.0,0.0,60.0,15.254237288135593
